28.93085, 77.21088
28.9283, 77.21329
28.92499, 77.21483
28.92138, 77.21586
28.91733, 77.21724
28.91251, 77.21895
28.90981, 77.22239
28.9077, 77.22582
28.90575, 77.22805
28.90394, 77.23063
28.90094, 77.232
28.89913, 77.23166
28.89703, 77.23166
28.89387, 77.22977
28.89086, 77.22857
28.88394, 77.22496
28.88229, 77.22393
28.87943, 77.22136
28.87387, 77.21689
28.87116, 77.2138
28.86951, 77.21088
28.86665, 77.21054
28.86424, 77.21003
28.86033, 77.209
28.85687, 77.209
28.85476, 77.20934
28.85191, 77.21037
28.8501, 77.2114
28.84739, 77.21243
28.84619, 77.21449
28.84348, 77.21586
28.84168, 77.21672
28.83807, 77.2193
28.83476, 77.22307
28.8319, 77.22616
28.82813, 77.22788
28.82678, 77.22616
28.82543, 77.22324
28.82347, 77.22204
28.82076, 77.21981
28.81805, 77.21758
28.8158, 77.21535
28.81354, 77.21294
28.81248, 77.21174
28.80963, 77.21003
28.80722, 77.20865
28.80361, 77.20591
28.79939, 77.20419
28.79518, 77.20385
28.79171, 77.20316
28.7875, 77.20367
28.78479, 77.20522
28.78223, 77.20694
28.77997, 77.20814
28.77711, 77.2102
28.77425, 77.21294
28.77109, 77.21518
28.76883, 77.21741
28.76642, 77.21998
28.76582, 77.2229
28.76612, 77.22736
28.76793, 77.23063
28.76883, 77.23251
28.77034, 77.23526
28.77169, 77.23715
28.76597, 77.23852
28.76401, 77.23612
28.76191, 77.23457
28.7604, 77.23389
28.75769, 77.23131
28.75588, 77.22977
28.75423, 77.22925
28.75242, 77.22822
28.75061, 77.22736
28.74866, 77.22702
28.74685, 77.22651
28.74534, 77.22702
28.72968, 77.23526
28.72486, 77.23972
28.72245, 77.24178
28.72079, 77.2411
28.71718, 77.23869
28.71387, 77.23509
28.7113, 77.23457
28.70995, 77.23372
28.70889, 77.23354
28.70528, 77.232
28.69534, 77.23097
28.68092, 77.23234
28.66992, 77.23543
28.6663, 77.23818
28.66148, 77.24934
28.65455, 77.26152
28.64972, 77.26358
28.6443, 77.26427
28.63137, 77.2574
28.62247, 77.25397
28.61388, 77.25603
28.60227, 77.25998
28.59382, 77.27079
28.58568, 77.28075
28.5813, 77.28882
28.57406, 77.29328
28.56697, 77.29706
28.5623, 77.29757
28.55445, 77.30118
28.54947, 77.30633
28.546, 77.31251
28.54133, 77.32109
28.53756, 77.32349
28.53454, 77.3271
28.52579, 77.33568
28.51899, 77.34289
28.50843, 77.34993
28.48896, 77.35748
28.47084, 77.37396
28.46571, 77.38546
28.46948, 77.39954
28.47296, 77.4119
28.47431, 77.4155
28.47039, 77.41962
28.46314, 77.42323
28.45559, 77.42409
28.44215, 77.41739
28.43475, 77.41516
28.42886, 77.41928
28.42629, 77.4301
28.42886, 77.43576
28.43158, 77.43919
28.4352, 77.44349
28.43792, 77.44675
